,Rank,Player,Name,Price,Link,TournamentIdx
190,7,Andrew Cuneo,Mono Green Landfall,667.0,https://mtgtop8.com/event?e=80826&d=814354&f=ST,8
191,8,Mike Sigrist,Simic Nature's Rhythm,1058.0,https://mtgtop8.com/event?e=80826&d=814356&f=ST,8
192,9,Shawn Doherty,4c Elementals,975.0,https://mtgtop8.com/event?e=80826&d=814357&f=ST,8
193,10,Brandon Kohrs,Esper Aggro,595.0,https://mtgtop8.com/event?e=80826&d=814361&f=ST,8
194,11,Dylan Pratt,Izzet Lesson,537.0,https://mtgtop8.com/event?e=80826&d=814358&f=ST,8
195,12,Arne Huschenbeth,Izzet Lesson,725.0,https://mtgtop8.com/event?e=80826&d=814359&f=ST,8
196,13,Ac11ben24355,Izzet Spellementals,344.0,https://mtgtop8.com/event?e=80826&d=814364&f=ST,8
197,14,David Ĺstrand,Mono Green Aggro,679.0,https://mtgtop8.com/event?e=80826&d=814363&f=ST,8
198,15,Matthew Wright,Simic Nature's Rhythm,1099.0,https://mtgtop8.com/event?e=80826&d=814360&f=ST,8
199,16,Christoffer Larsen,Superior Doomsday ,656.0,https://mtgtop8.com/event?e=80826&d=814362&f=ST,8
200,1,Camerontalbot,Red Deck Wins,229.0,https://mtgtop8.com/event?e=80808&d=814209&f=ST,9
201,2,Obscurity,UR Aggro,523.0,https://mtgtop8.com/event?e=80808&d=814210&f=ST,9
202,3,Eli Swafford,Mono Green Aggro,621.0,https://mtgtop8.com/event?e=80808&d=814211&f=ST,9
203,4,Michael Nolan,Temur Full Bore Harmonizer,712.0,https://mtgtop8.com/event?e=80808&d=814212&f=ST,9
204,5,Mirra Berglund,Azorius Aggro,753.0,https://mtgtop8.com/event?e=80808&d=814214&f=ST,9
205,6,Raynor Kuang,Dimir Control,662.0,https://mtgtop8.com/event?e=80808&d=814216&f=ST,9
206,7,Harry Coleman,Selesnya Aggro,706.0,https://mtgtop8.com/event?e=80808&d=814213&f=ST,9
207,8,Thatonenativeguy,Temur Battlecrier,946.0,https://mtgtop8.com/event?e=80808&d=814215&f=ST,9
208,1,Trystan Alexander,Roaming Elementals,1037.0,https://mtgtop8.com/event?e=80798&d=814122&f=ST,10
209,2,Drewjhowells,Mono Green Landfall,631.0,https://mtgtop8.com/event?e=80798&d=814123&f=ST,10
210,3,Luke Barton,Boros Aggro,459.0,https://mtgtop8.com/event?e=80798&d=814125&f=ST,10
211,4,Anand Kinra,Superior Doomsday ,560.0,https://mtgtop8.com/event?e=80798&d=814124&f=ST,10
212,5,Kevin Thanakit,Dimir Aggro,542.0,https://mtgtop8.com/event?e=80798&d=814126&f=ST,10
213,6,Maxx Paustian,Mono Green Landfall,667.0,https://mtgtop8.com/event?e=80798&d=814127&f=ST,10
214,7,Austin Brush,Superior Doomsday ,842.0,https://mtgtop8.com/event?e=80798&d=814128&f=ST,10
215,8,John Aloi,Temur Battlecrier,505.0,https://mtgtop8.com/event?e=80798&d=814129&f=ST,10
216,1,Nolan Chaney,Azorius Aggro,643.0,https://mtgtop8.com/event?e=80799&d=814130&f=ST,11
217,2,Andrewbergen,Roaming Elementals,928.0,https://mtgtop8.com/event?e=80799&d=814131&f=ST,11
218,3,Chris Weissmann,Dimir Aggro,501.0,https://mtgtop8.com/event?e=80799&d=814133&f=ST,11
219,4,John Wager,Izzet Spellementals,555.0,https://mtgtop8.com/event?e=80799&d=814132&f=ST,11
220,5,Sean Murdoch,Jeskai Control,605.0,https://mtgtop8.com/event?e=80799&d=814137&f=ST,11
221,6,Theadambomb053,Red Deck Wins,410.0,https://mtgtop8.com/event?e=80799&d=814135&f=ST,11
222,7,Kris Hamann,Simic Nature's Rhythm,1066.0,https://mtgtop8.com/event?e=80799&d=814136&f=ST,11
223,8,Obscurity,UR Aggro,523.0,https://mtgtop8.com/event?e=80799&d=814134&f=ST,11
224,1,Tyler Rebhahn,Superior Doomsday ,622.0,https://mtgtop8.com/event?e=80800&d=814138&f=ST,12
225,2,James Newman,Simic Nature's Rhythm,1065.0,https://mtgtop8.com/event?e=80800&d=814139&f=ST,12
226,3,Matt Rosenbloom,Dimir Aggro,644.0,https://mtgtop8.com/event?e=80800&d=814141&f=ST,12
227,4,James Spinelli,Izzet Spellementals,345.0,https://mtgtop8.com/event?e=80800&d=814140&f=ST,12
228,5,Reneeblack12,Bant Airbending,887.0,https://mtgtop8.com/event?e=80800&d=814142&f=ST,12
229,6,Nlothame,Boros Aggro,658.0,https://mtgtop8.com/event?e=80800&d=814145&f=ST,12
230,7,Sylvie Sibila,Superior Doomsday ,739.0,https://mtgtop8.com/event?e=80800&d=814143&f=ST,12
231,8,Josh Czopek,Superior Doomsday ,689.0,https://mtgtop8.com/event?e=80800&d=814144&f=ST,12
232,1,Nathaniela,Superior Doomsday ,753.0,https://mtgtop8.com/event?e=80796&d=814098&f=ST,13
233,2,Daniel Lebben,Mono Green Landfall,653.0,https://mtgtop8.com/event?e=80796&d=814099&f=ST,13
234,3,Noah Burns,Mono Green Landfall,628.0,https://mtgtop8.com/event?e=80796&d=814101&f=ST,13
235,4,Alex Poulosky,Red Deck Wins,235.0,https://mtgtop8.com/event?e=80796&d=814100&f=ST,13
236,5,Romulus731,Boros Aggro,322.0,https://mtgtop8.com/event?e=80796&d=814105&f=ST,13
237,6,Caleb Mears,Dimir Aggro,463.0,https://mtgtop8.com/event?e=80796&d=814102&f=ST,13
238,7,M4v3n,Gruul Aggro,617.0,https://mtgtop8.com/event?e=80796&d=814103&f=ST,13
239,8,Josh Moscoe,Temur Full Bore Harmonizer,502.0,https://mtgtop8.com/event?e=80796&d=814104&f=ST,13
240,1,Kevin Kingsley,Izzet Spellementals,313.0,https://mtgtop8.com/event?e=80805&d=814178&f=ST,14
241,2,Acairns,Gruul Aggro,300.0,https://mtgtop8.com/event?e=80805&d=814179&f=ST,14
242,3,Cbrower,Boros Aggro,690.0,https://mtgtop8.com/event?e=80805&d=814181&f=ST,14
243,4,Weem0,Rakdos Monument,487.0,https://mtgtop8.com/event?e=80805&d=814180&f=ST,14
244,5,Treepowers,Boros Aggro,679.0,https://mtgtop8.com/event?e=80805&d=814184&f=ST,14
245,6,Lorenzo Rivas,Mono Black Control,253.0,https://mtgtop8.com/event?e=80805&d=814182&f=ST,14
246,7,Cormac_manahan,Mono Green Landfall,651.0,https://mtgtop8.com/event?e=80805&d=814183&f=ST,14
247,1,Andrew Robinson,Red Deck Wins,230.0,https://mtgtop8.com/event?e=80793&d=814066&f=ST,15
