,Rank,Player,Name,Price,Link,TournamentIdx
111,20,Yuta Takahashi,Izzet Lesson,641.0,https://mtgtop8.com/event?e=81886&d=822370&f=ST,10
112,21,Tomoyuki1206,Izzet Lesson,600.0,https://mtgtop8.com/event?e=81886&d=822378&f=ST,10
113,22,Yamashita Kazuki,Izzet Prowess,403.0,https://mtgtop8.com/event?e=81886&d=822364&f=ST,10
114,23,Masashiro Kuroda,Izzet Prowess,472.0,https://mtgtop8.com/event?e=81886&d=822366&f=ST,10
115,24,Kazuhiro Noine,Izzet Prowess,431.0,https://mtgtop8.com/event?e=81886&d=822367&f=ST,10
116,25,Kenta Imai,Izzet Prowess,408.0,https://mtgtop8.com/event?e=81886&d=822368&f=ST,10
117,26,Gaku Oohashi,Izzet Prowess,571.0,https://mtgtop8.com/event?e=81886&d=822371&f=ST,10
118,27,Tomoki Egeyama,Izzet Prowess,405.0,https://mtgtop8.com/event?e=81886&d=822374&f=ST,10
119,28,Ysohq,Izzet Prowess,405.0,https://mtgtop8.com/event?e=81886&d=822377&f=ST,10
120,29,Yasuhiro Yazu,Mono Green Landfall,580.0,https://mtgtop8.com/event?e=81886&d=822372&f=ST,10
121,30,Naoto Shimizu,Mono Green Landfall,604.0,https://mtgtop8.com/event?e=81886&d=822375&f=ST,10
122,31,Takuya Taniguchi,Mono Green Landfall,613.0,https://mtgtop8.com/event?e=81886&d=822376&f=ST,10
123,32,Hosokawa Kouta,Simic Nature's Rhythm,1056.0,https://mtgtop8.com/event?e=81886&d=822373&f=ST,10
124,1,Simon Linabury,Mono Green Landfall,612.0,https://mtgtop8.com/event?e=81884&d=822313&f=ST,11
125,2,Ryan Jonns Lewis,Mono Green Landfall,566.0,https://mtgtop8.com/event?e=81884&d=822314&f=ST,11
126,3,Elsbest,Izzet Lesson,542.0,https://mtgtop8.com/event?e=81884&d=822315&f=ST,11
127,4,Jacob Harvey,Superior Doomsday ,514.0,https://mtgtop8.com/event?e=81884&d=822316&f=ST,11
128,5,Klarke Trezise,Izzet Lesson,628.0,https://mtgtop8.com/event?e=81884&d=822320&f=ST,11
129,6,Samuel Maher,Izzet Prowess,424.0,https://mtgtop8.com/event?e=81884&d=822319&f=ST,11
130,7,James Drake,Mono Green Aggro,578.0,https://mtgtop8.com/event?e=81884&d=822318&f=ST,11
131,8,Ben Parker,Simic Nature's Rhythm,1062.0,https://mtgtop8.com/event?e=81884&d=822317&f=ST,11
132,9,Edward Endres,Izzet Prowess,408.0,https://mtgtop8.com/event?e=81884&d=822323&f=ST,11
133,10,Katherine Mai,Izzet Prowess,483.0,https://mtgtop8.com/event?e=81884&d=822324&f=ST,11
134,11,Samuel Carpenter,Izzet Prowess,421.0,https://mtgtop8.com/event?e=81884&d=822325&f=ST,11
135,12,Kyle Gibson,Jeskai Control,590.0,https://mtgtop8.com/event?e=81884&d=822322&f=ST,11
136,13,Sniperhood,Rakdos Aggro,438.0,https://mtgtop8.com/event?e=81884&d=822328&f=ST,11
137,14,Henry Sams,Superior Doomsday ,565.0,https://mtgtop8.com/event?e=81884&d=822326&f=ST,11
138,15,Shaun Henry,Temur Full Bore Harmonizer,314.0,https://mtgtop8.com/event?e=81884&d=822327&f=ST,11
139,16,Jason Yan,Weenie White ,246.0,https://mtgtop8.com/event?e=81884&d=822321&f=ST,11
140,17,Ben Tudman,Bant Airbending,810.0,https://mtgtop8.com/event?e=81884&d=822335&f=ST,11
141,18,Jedlamoreaux,Bant Airbending,810.0,https://mtgtop8.com/event?e=81884&d=822342&f=ST,11
142,19,Jose Gabriel Hilario,Izzet Lesson,603.0,https://mtgtop8.com/event?e=81884&d=822330&f=ST,11
143,20,Qihan Zhang,Izzet Prowess,467.0,https://mtgtop8.com/event?e=81884&d=822332&f=ST,11
144,21,Kyle Lerch,Izzet Prowess,426.0,https://mtgtop8.com/event?e=81884&d=822340&f=ST,11
145,22,Joseph Tsindos,Izzet Prowess,413.0,https://mtgtop8.com/event?e=81884&d=822344&f=ST,11
146,23,Gyurme,Izzet Spellementals,297.0,https://mtgtop8.com/event?e=81884&d=822329&f=ST,11
147,24,Brennan Crawford,Izzet Spellementals,298.0,https://mtgtop8.com/event?e=81884&d=822333&f=ST,11
148,25,Gabrielbartholazzi,Izzet Spellementals,278.0,https://mtgtop8.com/event?e=81884&d=822339&f=ST,11
149,26,Jennifer-rose Holloway,Jeskai Control,608.0,https://mtgtop8.com/event?e=81884&d=822336&f=ST,11
150,27,Beardedbear,Jeskai Control,690.0,https://mtgtop8.com/event?e=81884&d=822338&f=ST,11
151,28,Nino Manera,Mono Green Aggro,578.0,https://mtgtop8.com/event?e=81884&d=822341&f=ST,11
152,29,Luke Mcglaughlin,Roaming Elementals,907.0,https://mtgtop8.com/event?e=81884&d=822331&f=ST,11
153,30,Hanbin Zhou,Simic Nature's Rhythm,963.0,https://mtgtop8.com/event?e=81884&d=822337&f=ST,11
154,31,Matthew Dewitte,Superior Reanimator,816.0,https://mtgtop8.com/event?e=81884&d=822334&f=ST,11
155,32,Johnb2,Weenie White ,316.0,https://mtgtop8.com/event?e=81884&d=822343&f=ST,11
156,1,Terasawa Kazuya,Izzet Prowess,464.0,https://mtgtop8.com/event?e=81901&d=822492&f=ST,12
157,2,Ehara Kota,Izzet Lesson,566.0,https://mtgtop8.com/event?e=81901&d=822493&f=ST,12
158,3,Oikawa Hakudo,Izzet Prowess,413.0,https://mtgtop8.com/event?e=81901&d=822494&f=ST,12
159,4,Kokawa Tsunao,Orzhov Control,344.0,https://mtgtop8.com/event?e=81901&d=822495&f=ST,12
160,5,Sakai Tomohiro,Izzet Prowess,428.0,https://mtgtop8.com/event?e=81901&d=822496&f=ST,12
161,6,Maenosono Kenta,Izzet Prowess,406.0,https://mtgtop8.com/event?e=81901&d=822499&f=ST,12
162,7,Nakayama Taisei,Simic Nature's Rhythm,985.0,https://mtgtop8.com/event?e=81901&d=822498&f=ST,12
163,8,Osanai Yuma,UW Control,571.0,https://mtgtop8.com/event?e=81901&d=822497&f=ST,12
164,1,Daansvirsky,Azorius Flash,537.0,https://mtgtop8.com/event?e=82427&d=826432&f=ST,13
165,2,"Holmberg, Gustav",Izzet Control,525.0,https://mtgtop8.com/event?e=82427&d=826433&f=ST,13
166,3,Rory Mckay,Azorius Fliers,348.0,https://mtgtop8.com/event?e=82427&d=826435&f=ST,13
167,4,Juan Godoy,W-u-r-g Elementals,881.0,https://mtgtop8.com/event?e=82427&d=826434&f=ST,13
168,5,Eugeni Sanchez,Izzet Monument,617.0,https://mtgtop8.com/event?e=82427&d=826438&f=ST,13
169,6,Dario Marchiani,Mono-green Landfall,599.0,https://mtgtop8.com/event?e=82427&d=826437&f=ST,13
170,7,Alp Bugra Cal,Sultai Control,806.0,https://mtgtop8.com/event?e=82427&d=826439&f=ST,13
171,8,Antonio Bellizzi,Temur Battlecrier,689.0,https://mtgtop8.com/event?e=82427&d=826436&f=ST,13
172,1,Toyoshima Yuma,Izzet Lesson,412.0,https://mtgtop8.com/event?e=81900&d=822484&f=ST,14
173,2,Taniguchi Takuya,Mono Green Landfall,740.0,https://mtgtop8.com/event?e=81900&d=822485&f=ST,14
174,3,Shimokawabe Akinari,Izzet Prowess,419.0,https://mtgtop8.com/event?e=81900&d=822487&f=ST,14
175,4,Kawabata Yuji,Mono Green Landfall,608.0,https://mtgtop8.com/event?e=81900&d=822486&f=ST,14
176,5,Kurosawa Masato,Dimir Aggro,491.0,https://mtgtop8.com/event?e=81900&d=822490&f=ST,14
177,6,Takaba Yuma,Izzet Lesson,444.0,https://mtgtop8.com/event?e=81900&d=822488&f=ST,14
178,7,Nose Shunsuke,Izzet Lesson,550.0,https://mtgtop8.com/event?e=81900&d=822491&f=ST,14
179,8,Onodera Takumi,UR Aggro,407.0,https://mtgtop8.com/event?e=81900&d=822489&f=ST,14
180,1,Richard Fried,Izzet Prowess,406.0,https://mtgtop8.com/event?e=81682&d=820878&f=ST,15
181,2,Krishna Pai,Izzet Prowess,425.0,https://mtgtop8.com/event?e=81682&d=820879&f=ST,15
182,3,Kellen Ropson,Dimir Aggro,404.0,https://mtgtop8.com/event?e=81682&d=820880&f=ST,15
183,4,Alex Wells,Temur Full Bore Harmonizer,397.0,https://mtgtop8.com/event?e=81682&d=820881&f=ST,15
184,5,Robert Vaughan,Azorius Aggro,576.0,https://mtgtop8.com/event?e=81682&d=820883&f=ST,15
185,6,Adam Lizzi,Azorius Aggro,549.0,https://mtgtop8.com/event?e=81682&d=820885&f=ST,15
186,7,Allan Setash,Rakdos Aggro,506.0,https://mtgtop8.com/event?e=81682&d=820882&f=ST,15
187,8,Safranekk,Superior Doomsday ,639.0,https://mtgtop8.com/event?e=81682&d=820884&f=ST,15
188,1,Chiyou,Weenie White ,261.0,https://mtgtop8.com/event?e=81659&d=820731&f=ST,16
189,2,Leeshitian,Superior Doomsday ,587.0,https://mtgtop8.com/event?e=81659&d=820732&f=ST,16
190,3,Yuwen Su,Izzet Prowess,425.0,https://mtgtop8.com/event?e=81659&d=820733&f=ST,16
191,4,Hungyi Yu,Reanimator,970.0,https://mtgtop8.com/event?e=81659&d=820734&f=ST,16
192,5,Tseng Yu Chun,Esper Aggro,637.0,https://mtgtop8.com/event?e=81659&d=820738&f=ST,16
193,6,Huang Ta Chi,Izzet Spellementals,310.0,https://mtgtop8.com/event?e=81659&d=820737&f=ST,16
194,7,Chikuan Lin,Mono Green Landfall,619.0,https://mtgtop8.com/event?e=81659&d=820735&f=ST,16
195,8,Chin Yao Han,Weenie White ,264.0,https://mtgtop8.com/event?e=81659&d=820736&f=ST,16
196,9,Bor Hong Chen,Azorius Aggro,630.0,https://mtgtop8.com/event?e=81659&d=820746&f=ST,16
197,10,Kenglun Yeh,Dimir Aggro,403.0,https://mtgtop8.com/event?e=81659&d=820743&f=ST,16
198,11,Yang Chen Meng,Izzet Prowess,425.0,https://mtgtop8.com/event?e=81659&d=820740&f=ST,16
199,12,Eason271,Izzet Prowess,425.0,https://mtgtop8.com/event?e=81659&d=820742&f=ST,16
200,13,Shih Feng Lin,Izzet Spellementals,289.0,https://mtgtop8.com/event?e=81659&d=820744&f=ST,16
201,14,Ho Zhi Mao,Omniscience Combo,719.0,https://mtgtop8.com/event?e=81659&d=820739&f=ST,16
202,15,Davidyeh,UR Aggro,580.0,https://mtgtop8.com/event?e=81659&d=820741&f=ST,16
203,16,Tsengzhengzeng,Weenie White ,257.0,https://mtgtop8.com/event?e=81659&d=820745&f=ST,16
204,1,Jorge Lopez,Mono Green Landfall,614.0,https://mtgtop8.com/event?e=81609&d=820362&f=ST,17
205,2,Ivan Saenz,Mono Green Landfall,718.0,https://mtgtop8.com/event?e=81609&d=820363&f=ST,17
206,3,Carlos Martinez,Dimir Aggro,425.0,https://mtgtop8.com/event?e=81609&d=820365&f=ST,17
207,4,Isabel,Jeskai Control,686.0,https://mtgtop8.com/event?e=81609&d=820364&f=ST,17
208,5,Julio Cesar Soto,Dimir Aggro,859.0,https://mtgtop8.com/event?e=81609&d=820368&f=ST,17
209,6,Juanmi Sierra,Izzet Lesson,558.0,https://mtgtop8.com/event?e=81609&d=820367&f=ST,17
210,7,Rainman Sian,Reanimator,616.0,https://mtgtop8.com/event?e=81609&d=820369&f=ST,17
211,8,Edgar Emmanuel Rangel Páez,Superior Doomsday ,583.0,https://mtgtop8.com/event?e=81609&d=820366&f=ST,17
212,9,Paul Villalobos,Azorius Aggro,688.0,https://mtgtop8.com/event?e=81609&d=820372&f=ST,17
213,10,Jojo-torres,Bant Airbending,879.0,https://mtgtop8.com/event?e=81609&d=820370&f=ST,17
214,11,Ericksson Moran,Boros Aggro,605.0,https://mtgtop8.com/event?e=81609&d=820371&f=ST,17
215,12,Tyvant,Boros Aggro,580.0,https://mtgtop8.com/event?e=81609&d=820374&f=ST,17
216,13,Pedrom6744,Mono Green Landfall,590.0,https://mtgtop8.com/event?e=81609&d=820373&f=ST,17
217,14,Ricardo Landeta,Mono Green Landfall,700.0,https://mtgtop8.com/event?e=81609&d=820377&f=ST,17
218,15,Juan Carlos Servin Gomez,Roaming Elementals,887.0,https://mtgtop8.com/event?e=81609&d=820375&f=ST,17
219,16,Luis Felipe Sanchez Cuevas,Simic Nature's Rhythm,985.0,https://mtgtop8.com/event?e=81609&d=820376&f=ST,17
220,17,Yhsxu,4/5c Elementals,1077.0,https://mtgtop8.com/event?e=81609&d=820389&f=ST,17
221,18,Danieergalvez,Azorius Aggro,598.0,https://mtgtop8.com/event?e=81609&d=820380&f=ST,17
222,19,Vbostereo,Bant Airbending,784.0,https://mtgtop8.com/event?e=81609&d=820391&f=ST,17
223,20,Ficdu,Dimir Aggro,497.0,https://mtgtop8.com/event?e=81609&d=820378&f=ST,17
224,21,Toscano,Dimir Aggro,673.0,https://mtgtop8.com/event?e=81609&d=820379&f=ST,17
225,22,Luisalex,Esper Aggro,716.0,https://mtgtop8.com/event?e=81609&d=820382&f=ST,17
226,23,Dagoberto Silva,Izzet Lesson,570.0,https://mtgtop8.com/event?e=81609&d=820381&f=ST,17
227,24,Jahmm1024,Izzet Prowess,418.0,https://mtgtop8.com/event?e=81609&d=820384&f=ST,17
228,25,Germanba,Izzet Prowess,427.0,https://mtgtop8.com/event?e=81609&d=820385&f=ST,17
229,26,Hermilo Flores Davila,Izzet Prowess,615.0,https://mtgtop8.com/event?e=81609&d=820390&f=ST,17
230,27,Daniel Alvarez,Omniscience Combo,853.0,https://mtgtop8.com/event?e=81609&d=820388&f=ST,17
231,28,Ivan Martinez,Simic Nature's Rhythm,1005.0,https://mtgtop8.com/event?e=81609&d=820386&f=ST,17
232,29,Lidurden,Superior Doomsday ,828.0,https://mtgtop8.com/event?e=81609&d=820383&f=ST,17
233,30,José Eduardo Gordillo Cardona,Superior Doomsday ,662.0,https://mtgtop8.com/event?e=81609&d=820387&f=ST,17
234,31,Pablo Duque,Superior Doomsday ,651.0,https://mtgtop8.com/event?e=81609&d=820393&f=ST,17
235,32,Alejandro Pereira,Temur Full Bore Harmonizer,340.0,https://mtgtop8.com/event?e=81609&d=820392&f=ST,17
236,1,George Taylor,Weenie White ,269.0,https://mtgtop8.com/event?e=81571&d=819984&f=ST,18
237,2,Jakob Heckert,Bant Airbending,803.0,https://mtgtop8.com/event?e=81571&d=819985&f=ST,18
238,3,Richard Fried,Izzet Spellementals,297.0,https://mtgtop8.com/event?e=81571&d=819987&f=ST,18
239,4,Benjamin Wakefield,Superior Doomsday ,674.0,https://mtgtop8.com/event?e=81571&d=819986&f=ST,18
240,5,Sevriano Seda,Izzet Prowess,425.0,https://mtgtop8.com/event?e=81571&d=819988&f=ST,18
241,6,Bryan Blouin,Izzet Prowess,419.0,https://mtgtop8.com/event?e=81571&d=819991&f=ST,18
242,7,Taylor Johnson,Izzet Spellementals,310.0,https://mtgtop8.com/event?e=81571&d=819990&f=ST,18
243,8,Chris Conners,Weenie White ,352.0,https://mtgtop8.com/event?e=81571&d=819989&f=ST,18
244,1,Andrea Fortunati,Simic Nature's Rhythm,943.0,https://mtgtop8.com/event?e=81572&d=819992&f=ST,19
245,2,Samuele Estratti,Esper Aggro,513.0,https://mtgtop8.com/event?e=81572&d=819993&f=ST,19
246,3,Frozen_mind,Simic Nature's Rhythm,1054.0,https://mtgtop8.com/event?e=81572&d=819995&f=ST,19
247,4,Víctor Martínez Medina,Weenie White ,281.0,https://mtgtop8.com/event?e=81572&d=819994&f=ST,19
248,5,Valentin Orru,Boros Aggro,601.0,https://mtgtop8.com/event?e=81572&d=819998&f=ST,19
249,6,Ale_mtg,Izzet Lesson,573.0,https://mtgtop8.com/event?e=81572&d=819996&f=ST,19
250,7,Matyáš Kalužný,Izzet Spellementals,274.0,https://mtgtop8.com/event?e=81572&d=819999&f=ST,19
251,8,George Berrett,Roaming Elementals,887.0,https://mtgtop8.com/event?e=81572&d=819997&f=ST,19
252,9,Alexey Paulot,Izzet Lesson,554.0,https://mtgtop8.com/event?e=81572&d=820000&f=ST,19
253,10,Carlo De Gaetano,Izzet Lesson,634.0,https://mtgtop8.com/event?e=81572&d=820003&f=ST,19
254,11,Edgarb,Izzet Lesson,620.0,https://mtgtop8.com/event?e=81572&d=820006&f=ST,19
255,12,Guglielmo Lupi,Izzet Prowess,387.0,https://mtgtop8.com/event?e=81572&d=820004&f=ST,19
256,13,Max Bosma,Mono Green Landfall,601.0,https://mtgtop8.com/event?e=81572&d=820002&f=ST,19
257,14,Michael_frappi,Mono Green Landfall,605.0,https://mtgtop8.com/event?e=81572&d=820005&f=ST,19
258,15,Klemen Pirc,Rakdos Aggro,466.0,https://mtgtop8.com/event?e=81572&d=820001&f=ST,19
259,16,Mikita Shcharbakou,UR Aggro,413.0,https://mtgtop8.com/event?e=81572&d=820007&f=ST,19
260,17,Mike Boulinguiez,Bant Airbending,811.0,https://mtgtop8.com/event?e=81572&d=820019&f=ST,19
261,18,Mato20,Dimir Aggro,576.0,https://mtgtop8.com/event?e=81572&d=820010&f=ST,19
262,19,Mattia Rizzi,Izzet Lesson,542.0,https://mtgtop8.com/event?e=81572&d=820009&f=ST,19
263,20,Lorenzo Trentadue,Izzet Lesson,528.0,https://mtgtop8.com/event?e=81572&d=820014&f=ST,19
264,21,Ben Jones,Izzet Lesson,550.0,https://mtgtop8.com/event?e=81572&d=820016&f=ST,19
265,22,Pietro De Sanctis,Izzet Prowess,424.0,https://mtgtop8.com/event?e=81572&d=820018&f=ST,19
266,23,Jack Young,Izzet Spellementals,326.0,https://mtgtop8.com/event?e=81572&d=820008&f=ST,19
267,24,93vasa,Izzet Spellementals,327.0,https://mtgtop8.com/event?e=81572&d=820011&f=ST,19
268,25,Sergio Garcia,Izzet Spellementals,390.0,https://mtgtop8.com/event?e=81572&d=820017&f=ST,19
269,26,Aras ?enyüz,Izzet Spellementals,307.0,https://mtgtop8.com/event?e=81572&d=820022&f=ST,19
270,27,Gregorio Galeotti,Izzet Spellementals,312.0,https://mtgtop8.com/event?e=81572&d=820023&f=ST,19
271,28,Miguel Cerqueira,Mono Green Landfall,575.0,https://mtgtop8.com/event?e=81572&d=820021&f=ST,19
272,29,Lukas Schwendinger,Red Deck Wins,259.0,https://mtgtop8.com/event?e=81572&d=820012&f=ST,19
273,30,_numsgil_,Red Deck Wins,166.0,https://mtgtop8.com/event?e=81572&d=820020&f=ST,19
274,31,Istillarte12,Roaming Elementals,1001.0,https://mtgtop8.com/event?e=81572&d=820013&f=ST,19
275,32,Charles Eliatamby,Roaming Elementals,795.0,https://mtgtop8.com/event?e=81572&d=820015&f=ST,19
276,33,Dominik Cupal,Azorius Aggro,613.0,https://mtgtop8.com/event?e=81572&d=820049&f=ST,19
277,34,Vincenzo Cusenza,Dimir Aggro,489.0,https://mtgtop8.com/event?e=81572&d=820037&f=ST,19
278,35,Tom Verzijl,Golgari Aggro,600.0,https://mtgtop8.com/event?e=81572&d=820044&f=ST,19
279,36,Gabriel Farriol,Izzet Lesson,515.0,https://mtgtop8.com/event?e=81572&d=820028&f=ST,19
280,37,Pier Paolo Moro,Izzet Lesson,533.0,https://mtgtop8.com/event?e=81572&d=820030&f=ST,19
281,38,Socrates Rozakeas,Izzet Lesson,599.0,https://mtgtop8.com/event?e=81572&d=820032&f=ST,19
282,39,Adrian Kacperczyk-perdyan,Izzet Lesson,560.0,https://mtgtop8.com/event?e=81572&d=820041&f=ST,19
283,40,Andreas Nordahl,Izzet Lesson,540.0,https://mtgtop8.com/event?e=81572&d=820042&f=ST,19
284,41,Patrik Szmatana,Izzet Lesson,621.0,https://mtgtop8.com/event?e=81572&d=820043&f=ST,19
285,42,Kael95,Izzet Lesson,583.0,https://mtgtop8.com/event?e=81572&d=820046&f=ST,19
286,43,Marco Capitanio,Izzet Lesson,638.0,https://mtgtop8.com/event?e=81572&d=820054&f=ST,19
287,44,Ugutz Torre,Izzet Lesson,596.0,https://mtgtop8.com/event?e=81572&d=820055&f=ST,19
288,45,Gennaro Costanzo,Izzet Prowess,422.0,https://mtgtop8.com/event?e=81572&d=820024&f=ST,19
