,Rank,Player,Name,Price,Link,TournamentIdx
345,38,Nick Schirillo,Izzet Lesson,638.0,https://mtgtop8.com/event?e=81570&d=819979&f=ST,20
346,39,Ryan Mullens,Izzet Lesson,655.0,https://mtgtop8.com/event?e=81570&d=819981&f=ST,20
347,40,Kobi Sutton,Izzet Lesson,641.0,https://mtgtop8.com/event?e=81570&d=819983&f=ST,20
348,41,Tyler Aaron Barnett,Izzet Prowess,424.0,https://mtgtop8.com/event?e=81570&d=819953&f=ST,20
349,42,John Norman,Izzet Prowess,423.0,https://mtgtop8.com/event?e=81570&d=819957&f=ST,20
350,43,James Spinelli,Izzet Prowess,411.0,https://mtgtop8.com/event?e=81570&d=819958&f=ST,20
351,44,Kellen Pastore,Izzet Prowess,424.0,https://mtgtop8.com/event?e=81570&d=819967&f=ST,20
352,45,Brennan Franks,Izzet Prowess,388.0,https://mtgtop8.com/event?e=81570&d=819970&f=ST,20
353,46,Davidwcarstens,Izzet Prowess,441.0,https://mtgtop8.com/event?e=81570&d=819972&f=ST,20
354,47,August Nguyen,Izzet Prowess,424.0,https://mtgtop8.com/event?e=81570&d=819973&f=ST,20
355,48,Ian Robb,Izzet Prowess,424.0,https://mtgtop8.com/event?e=81570&d=819977&f=ST,20
356,49,Shinya Saito,Izzet Prowess,403.0,https://mtgtop8.com/event?e=81570&d=819980&f=ST,20
357,50,Joseph Hunt,Izzet Spellementals,295.0,https://mtgtop8.com/event?e=81570&d=819960&f=ST,20
358,51,Alexander Beebe,Izzet Spellementals,309.0,https://mtgtop8.com/event?e=81570&d=819965&f=ST,20
359,52,Jarvis Yu,Izzet Spellementals,308.0,https://mtgtop8.com/event?e=81570&d=819976&f=ST,20
360,53,Nathan Steuer,Izzet Spellementals,381.0,https://mtgtop8.com/event?e=81570&d=819982&f=ST,20
361,54,Yoman5,Mono Green Aggro,590.0,https://mtgtop8.com/event?e=81570&d=819975&f=ST,20
362,55,William Grogan,Mono Green Landfall,584.0,https://mtgtop8.com/event?e=81570&d=819961&f=ST,20
363,56,Bigbrain,Rakdos Aggro,452.0,https://mtgtop8.com/event?e=81570&d=819956&f=ST,20
364,57,Daniel Miller,Roaming Elementals,879.0,https://mtgtop8.com/event?e=81570&d=819971&f=ST,20
365,58,Mason Furnish,Simic Nature's Rhythm,974.0,https://mtgtop8.com/event?e=81570&d=819963&f=ST,20
366,59,Steven Borakove,Simic Nature's Rhythm,1041.0,https://mtgtop8.com/event?e=81570&d=819964&f=ST,20
367,60,Nicholas Girardi,Superior Doomsday ,675.0,https://mtgtop8.com/event?e=81570&d=819959&f=ST,20
368,61,Shaheens,UW Control,573.0,https://mtgtop8.com/event?e=81570&d=819954&f=ST,20
369,62,Christian Valenti,Weenie White ,260.0,https://mtgtop8.com/event?e=81570&d=819952&f=ST,20
